iter	RMSE
0	0.6460141585
1	0.6320923093
2	0.6193798431
3	0.607196845
4	0.5956886799
5	0.5832182982
6	0.5724224504
7	0.5616496044
8	0.5505057549
9	0.5396067498
10	0.5293094444
11	0.5193443415
12	0.5097969413
13	0.5008577481
14	0.4921614977
15	0.4841446504
16	0.4761595146
17	0.4695300704
18	0.4618990608
19	0.4557280047
20	0.4489173309
21	0.4422389301
22	0.4362777534
23	0.4302387522
24	0.4244500551
25	0.4184703512
26	0.4128123811
27	0.4081370609
28	0.4029349749
29	0.3981949931
30	0.3932153035
31	0.3887926747
32	0.3843086906
33	0.3800104627
34	0.3758241514
35	0.3721055447
36	0.3686195713
37	0.3651540991
38	0.3618079546
39	0.3589126104
40	0.3554844064
41	0.3522846282
42	0.3491841719
43	0.3461428788
44	0.3434812573
45	0.34083713
46	0.3384760336
47	0.3363989404
48	0.3340692472
49	0.3320908905
50	0.3302834247
51	0.3282318961
52	0.3261959072
53	0.3242501436
54	0.3222775264
55	0.3203228539
56	0.318546886
57	0.3168413448
58	0.3154913717
59	0.3138375029
60	0.3123749569
61	0.310938976
62	0.3095981146
63	0.3082443338
64	0.3070950322
65	0.3060245369
66	0.305029576
67	0.3039080441
68	0.3028083907
69	0.301703419
70	0.3005339443
71	0.2995845938
72	0.2986175969
73	0.2976770382
74	0.2965394621
75	0.2956308299
76	0.2949131493
77	0.2942336224
78	0.2935098386
79	0.2927213994
80	0.2918853159
81	0.2912803115
82	0.2905954053
83	0.289916731
84	0.2890062106
85	0.2883418223
86	0.2877458972
87	0.2870442554
88	0.286383945
89	0.2856770961
90	0.2851069647
91	0.2845457203
92	0.2838991728
93	0.2833119801
94	0.2827603826
95	0.2821277962
96	0.2817677784
97	0.2813044415
98	0.2807993219
99	0.2804558702
100	0.2800241239
101	0.2797012946
102	0.2791499493
103	0.2787065614
104	0.2781624355
105	0.2776406072
106	0.2771982233
107	0.2767536782
108	0.2763997852
109	0.2759247677
110	0.2754712075
111	0.2750905596
112	0.2746495453
113	0.2742719032
114	0.2742107835
115	0.2739216792
116	0.2735845293
117	0.2731584975
118	0.2728068933
119	0.272465783
120	0.2722640367
121	0.2719189093
122	0.2717101355
123	0.2713349712
124	0.2709799078
125	0.270738113
126	0.2703115656
127	0.2702663651
128	0.2698855759
129	0.2696197324
130	0.269572248
131	0.2694045888
132	0.2691144034
133	0.2688263814
134	0.2685427745
135	0.2682445958
136	0.2679764525
137	0.2677260227
138	0.267378869
139	0.2671141331
140	0.2668840975
141	0.2666390189
142	0.2663587308
143	0.2659975051
144	0.265941501
145	0.2656013531
146	0.2652652529
147	0.2648805072
148	0.2647095643
149	0.2644780605
150	0.2642177369
151	0.2641278221
152	0.2638987278
153	0.2636727954
154	0.2634036073
155	0.263336095
156	0.2628835601
157	0.262736578
158	0.2625420372
159	0.2622838014
160	0.2620496349
161	0.2618024427
162	0.2616434068
163	0.2613965734
164	0.2611794145
165	0.260987073
166	0.2608940313
167	0.2608545246
168	0.2606696819
169	0.2604926301
170	0.260318694
171	0.2600782754
172	0.2599596869
173	0.2597541849
174	0.2596592904
175	0.2594106382
176	0.2591360311
177	0.2589271655
178	0.2588494715
179	0.2587845586
180	0.2585897446
181	0.2584465929
182	0.2581630483
183	0.2579735437
184	0.2579066938
185	0.2577199865
186	0.2574527182
187	0.2573711764
188	0.2573196959
189	0.257239373
190	0.2570005299
191	0.2567567248
192	0.2565478191
193	0.2564037783
194	0.256339746
195	0.2560931951
196	0.2558929045
197	0.2557686804
198	0.2555798333
199	0.2553696495
200	0.2552466186
201	0.2550937711
202	0.2549689671
203	0.2548692515
204	0.2547506831
205	0.2546877468
206	0.2545262913
207	0.2544733905
208	0.2542611425
209	0.2540858695
210	0.2538437062
211	0.2536049144
212	0.2534536537
213	0.2532264523
214	0.2529345589
215	0.252859391
216	0.2526745743
217	0.2526018141
218	0.2524272184
219	0.2522071297
220	0.2521099643
221	0.25193354
222	0.2517947225
223	0.2516983727
224	0.2516156474
225	0.2514523927
226	0.2512203464
227	0.2510678038
228	0.2509529561
229	0.2508165915
230	0.2505260197
231	0.2504733256
232	0.2502201405
233	0.2501746654
234	0.2499444975
235	0.2496908777
236	0.2495825251
237	0.2493838607
238	0.2491914486
239	0.2490033975
240	0.2486844626
241	0.2485266136
242	0.2483483002
243	0.2481173609
244	0.2479726281
245	0.2478959079
246	0.247826164
247	0.2477077848
248	0.2475332919
