iter	Passed	Remaining
0	1	3968
1	3	3286
2	4	3059
3	5	2942
4	7	2864
5	8	2792
6	9	2754
7	11	2741
8	12	2724
9	13	2702
10	14	2690
11	16	2691
12	17	2696
13	19	2729
14	20	2748
15	22	2734
16	23	2758
17	24	2751
18	26	2790
19	28	2790
20	29	2776
21	31	2789
22	32	2785
23	33	2778
24	35	2768
25	36	2758
26	37	2747
27	39	2748
28	40	2750
29	41	2752
30	43	2743
31	44	2737
32	45	2741
33	47	2736
34	48	2725
35	49	2717
36	51	2707
37	52	2713
38	53	2707
39	55	2700
40	56	2696
41	57	2691
42	59	2697
43	60	2695
44	61	2690
45	63	2683
46	64	2675
47	65	2677
48	67	2677
49	68	2671
50	69	2670
51	71	2666
52	72	2669
53	74	2668
54	75	2662
55	76	2657
56	77	2651
57	79	2648
58	80	2643
59	81	2639
60	82	2635
61	84	2632
62	85	2643
63	87	2650
64	89	2649
65	90	2650
66	91	2647
67	93	2649
68	94	2647
69	95	2643
70	97	2638
71	98	2633
72	100	2639
73	101	2639
74	102	2637
75	104	2634
76	105	2634
77	106	2631
78	108	2628
79	109	2624
80	110	2619
81	111	2617
82	113	2615
83	114	2621
84	116	2625
85	117	2623
86	119	2623
87	120	2620
88	121	2618
89	123	2615
90	124	2613
91	126	2617
92	127	2615
93	128	2614
94	130	2613
95	132	2618
96	133	2619
97	134	2619
98	136	2623
99	138	2627
100	139	2631
101	141	2633
102	143	2636
103	144	2634
104	146	2638
105	147	2639
106	149	2637
107	150	2638
108	152	2640
109	153	2639
110	154	2636
111	156	2631
112	157	2628
113	159	2632
114	160	2628
115	161	2624
116	162	2623
117	164	2620
118	165	2621
119	167	2618
120	168	2614
121	169	2611
122	170	2608
123	172	2607
124	173	2603
125	175	2603
126	176	2599
127	176	2585
128	178	2582
129	179	2580
130	180	2570
131	181	2565
132	182	2562
133	183	2559
134	185	2556
135	186	2554
136	187	2551
137	189	2551
138	190	2550
139	191	2550
140	193	2551
141	194	2550
142	196	2549
143	197	2548
144	198	2541
145	200	2541
146	201	2540
147	202	2539
148	204	2539
149	206	2542
150	207	2542
151	209	2541
152	210	2539
153	211	2539
154	213	2537
155	214	2535
156	215	2533
157	217	2531
158	218	2530
159	219	2529
160	221	2531
161	223	2530
162	224	2530
163	226	2530
164	227	2528
165	228	2526
166	230	2529
167	231	2523
168	232	2522
169	234	2520
170	235	2519
171	237	2519
172	238	2519
173	240	2518
174	241	2516
175	242	2516
176	244	2514
177	245	2512
178	246	2511
179	248	2509
180	249	2509
181	250	2507
182	252	2505
183	253	2504
184	254	2501
185	256	2500
186	257	2499
187	259	2498
188	260	2498
189	262	2497
190	263	2496
191	265	2495
192	266	2494
193	267	2492
194	269	2491
195	270	2491
196	272	2489
197	273	2488
198	274	2487
199	276	2489
200	278	2488
201	279	2487
202	280	2485
203	282	2484
204	283	2482
205	284	2480
206	286	2478
207	287	2476
208	288	2475
209	290	2474
210	291	2473
211	293	2472
212	294	2471
213	295	2470
214	297	2469
215	298	2466
216	299	2464
217	301	2462
218	302	2461
219	304	2461
220	305	2458
221	306	2457
222	308	2455
223	309	2454
224	310	2451
225	312	2450
226	313	2448
227	314	2446
228	316	2445
229	317	2443
230	318	2442
231	320	2441
232	321	2440
233	323	2439
234	324	2438
235	326	2437
236	327	2436
237	328	2434
238	330	2436
239	332	2436
240	333	2434
241	334	2433
242	336	2433
243	338	2432
244	339	2431
245	340	2429
246	342	2427
247	343	2426
248	344	2424
249	346	2422
250	347	2419
251	348	2418
252	349	2415
253	351	2413
254	352	2413
255	354	2412
256	355	2411
257	357	2410
258	358	2408
259	359	2407
260	361	2406
261	362	2404
262	363	2403
263	365	2402
264	366	2401
265	368	2399
266	369	2397
267	370	2395
268	371	2393
269	373	2392
270	374	2392
271	376	2391
272	377	2389
273	379	2387
274	380	2387
275	382	2387
276	383	2388
277	385	2388
278	387	2388
279	388	2388
280	390	2389
281	392	2389
282	393	2389
283	395	2390
284	397	2390
285	398	2390
286	400	2391
287	402	2392
288	404	2392
289	405	2392
290	407	2393
291	409	2394
292	411	2396
293	413	2398
294	415	2401
295	417	2403
296	419	2404
297	421	2406
298	423	2406
299	425	2409
300	427	2410
301	429	2413
302	431	2415
303	433	2417
304	435	2417
305	436	2417
306	438	2416
307	439	2415
308	441	2415
309	443	2415
310	444	2414
311	446	2413
312	447	2412
313	449	2411
314	450	2411
315	452	2409
316	453	2408
317	456	2413
318	458	2414
319	460	2415
320	461	2416
321	463	2417
322	465	2416
323	467	2417
324	469	2417
325	470	2416
326	472	2415
327	473	2415
328	475	2414
329	476	2413
330	478	2413
331	480	2412
332	481	2412
333	483	2410
334	484	2408
335	486	2408
336	488	2408
337	489	2408
338	491	2408
339	493	2408
340	494	2407
341	496	2407
342	498	2406
343	499	2405
344	501	2404
345	502	2403
346	503	2400
347	505	2400
348	507	2399
349	508	2397
350	509	2395
351	511	2393
352	512	2392
353	514	2391
354	515	2389
355	517	2388
356	518	2387
357	520	2386
358	521	2384
359	523	2383
360	524	2381
361	525	2379
362	527	2378
363	528	2376
364	530	2374
365	531	2372
366	532	2370
367	534	2369
368	535	2368
369	537	2367
370	538	2365
371	540	2363
372	541	2363
373	543	2361
374	544	2360
375	546	2359
376	547	2357
377	549	2356
378	550	2355
379	552	2353
380	553	2352
381	555	2350
382	556	2349
383	558	2348
384	559	2347
385	561	2346
386	562	2345
387	564	2343
388	565	2342
389	567	2341
390	568	2341
391	570	2340
392	572	2339
393	573	2338
394	575	2337
395	576	2336
396	578	2334
397	579	2333
398	581	2332
399	582	2330
400	584	2329
401	585	2328
402	587	2326
403	588	2325
404	589	2323
405	591	2321
406	592	2320
407	594	2318
408	595	2317
409	597	2316
410	599	2316
411	601	2316
412	602	2315
413	604	2314
414	605	2313
415	607	2312
416	608	2310
417	610	2309
418	611	2308
419	613	2307
420	615	2306
421	616	2305
422	618	2304
423	619	2302
424	620	2301
425	622	2299
426	623	2298
427	625	2296
428	626	2295
429	628	2293
430	629	2292
431	631	2291
432	632	2289
433	634	2288
434	635	2287
435	637	2285
436	638	2284
437	640	2282
438	641	2280
439	642	2279
440	644	2278
441	646	2277
442	647	2275
443	648	2274
444	650	2272
445	652	2272
446	653	2271
447	655	2269
448	656	2268
449	658	2266
450	659	2265
451	661	2264
452	662	2262
453	664	2261
454	665	2260
455	667	2258
456	668	2257
457	670	2255
458	671	2255
459	673	2253
460	674	2252
461	676	2251
462	677	2250
463	679	2248
464	680	2247
465	682	2245
466	683	2243
467	684	2241
468	686	2240
469	687	2238
470	689	2236
471	690	2235
472	692	2234
473	693	2232
474	694	2230
475	696	2228
476	697	2227
477	698	2225
478	700	2223
479	701	2222
480	702	2219
481	704	2218
482	705	2217
483	707	2215
484	708	2213
485	710	2212
486	711	2210
487	712	2208
488	714	2207
489	715	2205
490	717	2203
491	718	2202
492	719	2200
493	721	2199
494	722	2197
495	724	2196
496	725	2194
497	727	2193
498	728	2191
499	729	2189
500	731	2187
501	732	2186
502	733	2184
503	735	2182
504	736	2180
505	738	2179
506	739	2178
507	740	2175
508	742	2174
509	743	2172
510	745	2170
511	746	2169
512	747	2167
513	749	2165
514	750	2163
515	751	2162
516	753	2161
517	754	2159
518	756	2157
519	757	2156
520	759	2154
521	760	2152
522	761	2151
523	762	2149
524	764	2147
525	765	2145
526	767	2144
527	768	2142
528	769	2140
529	771	2138
530	772	2137
531	773	2135
532	775	2134
533	776	2131
534	778	2130
535	779	2128
536	780	2127
537	782	2125
538	783	2123
539	784	2122
540	786	2120
541	787	2118
542	788	2116
543	789	2114
544	791	2112
545	792	2110
546	793	2108
547	794	2106
548	796	2104
549	797	2102
550	798	2100
551	799	2098
552	801	2096
553	802	2094
554	803	2092
555	805	2091
556	806	2089
557	807	2087
558	809	2085
559	810	2084
560	812	2083
561	813	2081
562	814	2080
563	816	2078
564	817	2076
565	819	2075
566	820	2073
567	821	2071
568	823	2070
569	824	2068
570	825	2067
571	827	2065
572	828	2063
573	830	2062
574	831	2060
575	833	2059
576	834	2058
577	835	2056
578	837	2054
579	838	2053
580	840	2051
581	841	2050
582	842	2048
583	844	2046
584	845	2045
585	846	2043
586	848	2041
587	849	2040
588	850	2038
589	852	2037
590	853	2035
591	855	2033
592	856	2032
593	858	2031
594	859	2029
595	861	2028
596	862	2026
597	863	2024
598	864	2022
599	866	2021
600	867	2019
601	868	2018
602	870	2016
603	871	2014
604	873	2013
605	874	2011
606	875	2010
607	877	2009
608	878	2007
609	880	2005
610	881	2003
611	882	2002
612	884	2000
613	885	1998
614	887	1997
615	888	1996
616	889	1994
617	891	1992
618	892	1991
619	893	1989
620	895	1987
621	896	1986
622	897	1984
623	899	1982
624	900	1980
625	901	1978
626	902	1977
627	904	1975
628	905	1973
629	906	1971
630	907	1969
631	909	1967
632	910	1965
633	911	1963
634	912	1961
635	913	1960
636	915	1958
637	916	1956
638	918	1955
639	919	1953
640	920	1952
641	922	1950
642	923	1948
643	924	1946
644	925	1945
645	927	1943
646	928	1941
647	929	1939
648	930	1937
649	932	1935
650	933	1934
651	934	1932
652	935	1930
653	937	1928
654	938	1927
655	939	1925
656	941	1923
657	942	1921
658	943	1920
659	945	1918
660	946	1916
661	947	1915
662	948	1913
663	949	1911
664	951	1910
665	952	1908
666	953	1906
667	955	1904
668	956	1902
669	957	1901
670	959	1899
671	960	1897
672	961	1895
673	962	1894
674	963	1892
675	965	1890
676	966	1888
677	967	1886
678	968	1884
679	970	1883
680	971	1881
681	972	1879
682	974	1878
683	975	1876
684	976	1874
685	978	1873
686	979	1871
687	980	1870
688	982	1868
689	983	1866
690	984	1865
691	985	1863
692	987	1862
693	988	1860
694	989	1858
695	991	1857
696	992	1855
697	994	1854
698	995	1852
699	996	1851
700	998	1849
701	999	1848
702	1001	1846
703	1002	1845
704	1003	1844
705	1005	1842
706	1006	1840
707	1007	1838
708	1008	1837
709	1010	1835
710	1011	1834
711	1012	1832
712	1014	1830
713	1015	1828
714	1016	1826
715	1017	1825
716	1019	1824
717	1020	1822
718	1022	1820
719	1023	1819
720	1024	1817
721	1025	1815
722	1027	1813
723	1028	1812
724	1029	1810
725	1030	1808
726	1032	1807
727	1033	1806
728	1035	1804
729	1036	1802
730	1037	1801
731	1039	1799
732	1040	1798
733	1041	1796
734	1042	1794
735	1043	1792
736	1045	1791
737	1046	1789
738	1047	1787
739	1048	1785
740	1050	1784
741	1051	1782
742	1052	1781
743	1054	1779
744	1055	1777
745	1056	1776
746	1058	1774
747	1059	1773
748	1060	1771
749	1062	1770
750	1063	1768
751	1064	1767
752	1066	1765
753	1067	1763
754	1068	1762
755	1069	1760
756	1071	1758
757	1072	1757
758	1073	1755
759	1074	1753
760	1076	1751
761	1077	1750
762	1078	1748
763	1079	1746
764	1081	1745
765	1082	1743
766	1083	1741
767	1084	1740
768	1085	1738
769	1087	1736
770	1088	1734
771	1089	1733
772	1091	1731
773	1092	1730
774	1093	1728
775	1094	1726
776	1096	1725
777	1097	1724
778	1098	1722
779	1100	1720
780	1101	1719
781	1102	1717
782	1103	1715
783	1105	1714
784	1106	1712
785	1107	1710
786	1108	1709
787	1110	1707
788	1111	1705
789	1112	1704
790	1113	1702
791	1114	1700
792	1116	1698
793	1117	1697
794	1118	1695
795	1119	1694
796	1121	1692
797	1122	1690
798	1123	1688
799	1124	1687
800	1126	1685
801	1127	1684
802	1128	1682
803	1130	1681
804	1131	1679
805	1132	1678
806	1134	1676
807	1135	1674
808	1136	1673
809	1137	1671
810	1139	1669
811	1140	1668
812	1141	1666
813	1142	1665
814	1144	1663
815	1145	1662
816	1146	1660
817	1147	1658
818	1149	1657
819	1150	1655
820	1151	1653
821	1153	1652
822	1154	1651
823	1155	1649
824	1157	1648
825	1158	1646
826	1159	1645
827	1161	1643
828	1162	1641
829	1163	1640
830	1164	1638
831	1166	1636
832	1167	1635
833	1168	1633
834	1170	1632
835	1171	1631
836	1172	1629
837	1173	1627
838	1175	1626
839	1176	1624
840	1177	1622
841	1178	1621
842	1180	1619
843	1181	1617
844	1182	1616
845	1183	1614
846	1184	1612
847	1186	1611
848	1187	1609
849	1188	1607
850	1189	1606
851	1190	1604
852	1192	1603
853	1193	1601
854	1194	1599
855	1195	1597
856	1196	1596
857	1198	1594
858	1199	1593
859	1200	1591
860	1201	1589
861	1203	1588
862	1204	1586
863	1205	1585
864	1206	1583
865	1208	1582
866	1209	1580
867	1210	1578
868	1211	1577
869	1213	1575
870	1214	1574
871	1215	1572
872	1217	1571
873	1218	1569
874	1219	1568
875	1220	1566
876	1222	1564
877	1223	1563
878	1224	1561
879	1226	1560
880	1227	1558
881	1228	1557
882	1229	1555
883	1231	1554
884	1232	1553
885	1234	1551
886	1235	1550
887	1236	1548
888	1238	1547
889	1239	1545
890	1240	1544
891	1241	1542
892	1242	1540
893	1244	1539
894	1245	1537
895	1246	1536
896	1247	1534
897	1248	1532
898	1250	1531
899	1251	1529
900	1252	1527
901	1253	1526
902	1254	1524
903	1256	1523
904	1257	1521
905	1258	1519
906	1259	1518
907	1260	1516
908	1262	1514
909	1263	1513
910	1264	1511
911	1266	1510
912	1267	1508
913	1268	1507
914	1269	1505
915	1271	1504
916	1272	1502
917	1273	1501
918	1274	1499
919	1276	1497
920	1277	1496
921	1278	1495
922	1279	1493
923	1281	1491
924	1282	1490
925	1283	1489
926	1285	1487
927	1286	1486
928	1288	1485
929	1289	1483
930	1290	1482
931	1292	1480
932	1293	1479
933	1294	1477
934	1295	1476
935	1297	1474
936	1298	1473
937	1300	1471
938	1301	1470
939	1302	1469
940	1304	1467
941	1305	1466
942	1306	1464
943	1308	1463
944	1309	1461
945	1310	1460
946	1311	1458
947	1313	1457
948	1314	1455
949	1315	1454
950	1316	1452
951	1318	1451
952	1319	1449
953	1320	1448
954	1321	1446
955	1323	1444
956	1324	1443
957	1325	1442
958	1327	1440
959	1328	1438
960	1329	1437
961	1330	1436
962	1332	1434
963	1333	1433
964	1335	1431
965	1336	1430
966	1337	1428
967	1338	1427
